# ---- session start 2026-06-19T14:50:29+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:50:32.526 tasks started
2026-06-19T14:50:32.530 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:50:32.533 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:51:00.900 239.8,139.4,-49.4,28.76,1381, 3
2026-06-19T14:51:00.999 240.6,139.6,-49.6,27.84,1404, 3
2026-06-19T14:51:01.100 241.5,139.0,-49.0,28.12,1397, 3
2026-06-19T14:51:01.199 242.8,139.1,-49.1,29.68,1358, 3
2026-06-19T14:51:01.300 245.2,137.0,-47.0,29.20,1370, 3
2026-06-19T14:51:01.400 245.9,136.9,-46.9,27.88,1403, 3
2026-06-19T14:51:01.500 246.3,137.3,-47.3,28.60,1385, 3
2026-06-19T14:51:01.600 247.7,137.6,-47.6,31.52,1312, 3
2026-06-19T14:51:01.700 250.1,138.1,-48.1,27.92,1402, 3
2026-06-19T14:51:01.800 250.6,138.2,-48.2,31.16,1321, 3
2026-06-19T14:51:01.900 251.4,138.4,-48.4,29.92,1352, 3
2026-06-19T14:51:02.000 254.6,138.3,-48.3,30.84,1329, 3
2026-06-19T14:51:02.100 257.4,136.9,-46.9,31.16,1321, 3
2026-06-19T14:51:02.200 258.0,137.3,-47.3,29.32,1367, 3
2026-06-19T14:51:02.300 258.8,137.5,-47.5,29.72,1357, 3
2026-06-19T14:51:02.400 261.3,136.7,-46.7,30.40,1340, 3
2026-06-19T14:51:02.500 262.9,135.9,-45.9,30.16,1346, 3
2026-06-19T14:51:02.605 263.6,137.3,-47.3,31.20,1320, 3
2026-06-19T14:51:02.705 263.7,138.6,-48.6,31.20,1320, 3
2026-06-19T14:51:02.805 265.1,138.6,-48.6,29.96,1351, 3
2026-06-19T14:51:02.905 268.0,138.5,-48.5,30.32,1342, 3
2026-06-19T14:51:03.005 270.5,137.8,-47.8,30.92,1327, 3
2026-06-19T14:51:03.105 272.4,139.0,-49.0,32.04,1299, 3
2026-06-19T14:51:03.205 274.2,138.7,-48.7,31.52,1312, 3
2026-06-19T14:51:03.305 275.0,139.6,-49.6,31.44,1314, 3
2026-06-19T14:51:03.405 276.2,139.0,-49.0,31.80,1305, 3
2026-06-19T14:51:03.505 277.7,138.0,-48.0,33.12,1272, 3
2026-06-19T14:51:03.605 279.7,136.5,-46.5,32.84,1279, 3
2026-06-19T14:51:03.705 281.1,136.1,-46.1,33.20,1270, 3
2026-06-19T14:51:03.805 281.0,137.2,-47.2,33.72,1257, 3
2026-06-19T14:51:03.905 282.2,137.1,-47.1,34.84,1229, 3
2026-06-19T14:51:04.004 284.3,137.3,-47.3,35.04,1224, 3
2026-06-19T14:51:04.105 287.0,136.7,-46.7,35.12,1222, 3
2026-06-19T14:51:04.205 288.2,137.4,-47.4,35.48,1213, 3
2026-06-19T14:51:04.305 288.5,139.3,-49.3,36.04,1199, 3
2026-06-19T14:51:04.405 289.7,140.9,-50.9,36.08,1198, 3
2026-06-19T14:51:04.505 292.0,139.7,-49.7,36.20,1195, 3
2026-06-19T14:51:04.610 293.4,139.0,-49.0,37.32,1167, 3
2026-06-19T14:51:04.710 293.9,138.6,-48.6,37.44,1164, 3
2026-06-19T14:51:04.810 295.0,138.3,-48.3,38.16,1146, 3
2026-06-19T14:51:04.910 297.8,137.0,-47.0,37.92,1152, 3
2026-06-19T14:51:05.010 299.5,136.2,-46.2,38.08,1148, 3
2026-06-19T14:51:05.110 299.8,137.5,-47.5,38.84,1129, 3
2026-06-19T14:51:05.210 301.6,138.1,-48.1,39.64,1109, 3
2026-06-19T14:51:05.310 304.2,137.2,-47.2,39.12,1122, 3
2026-06-19T14:51:05.410 305.4,137.5,-47.5,39.20,1120, 3
2026-06-19T14:51:05.510 305.6,138.4,-48.4,39.60,1110, 3
2026-06-19T14:51:05.610 307.3,138.6,-48.6,39.80,1105, 3
2026-06-19T14:51:05.710 310.1,137.8,-47.8,40.00,1100, 3
2026-06-19T14:51:05.810 312.4,136.4,-46.4,40.44,1089, 3
2026-06-19T14:51:05.910 313.4,136.3,-46.3,40.56,1086, 3
2026-06-19T14:51:06.010 314.6,135.4,-45.4,41.20,1070, 3
2026-06-19T14:51:06.110 315.2,134.8,-44.8,41.28,1068, 3
2026-06-19T14:51:06.210 317.0,133.6,-43.6,41.52,1062, 3
2026-06-19T14:51:06.310 317.2,134.5,-44.5,42.52,1037, 3
2026-06-19T14:51:06.410 316.8,135.7,-45.7,43.32,1017, 3
2026-06-19T14:51:06.510 318.0,135.5,-45.5,43.16,1021, 3
2026-06-19T14:51:06.615 319.7,135.6,-45.6,43.20,1020, 3
2026-06-19T14:51:06.715 321.7,135.2,-45.2,42.92,1027, 3
2026-06-19T14:51:06.815 322.8,135.5,-45.5,43.20,1020, 3
2026-06-19T14:51:06.915 322.9,136.3,-46.3,43.64,1009, 3
2026-06-19T14:51:07.015 324.9,135.2,-45.2,43.52,1012, 3
2026-06-19T14:51:07.115 327.0,133.5,-43.5,43.56,1011, 3
2026-06-19T14:51:07.215 328.1,132.8,-42.8,43.96,1001, 3
2026-06-19T14:51:07.315 329.3,131.7,-41.7,44.40,990, 3
2026-06-19T14:51:07.415 330.6,131.7,-41.7,44.08,998, 3
2026-06-19T14:51:07.515 330.6,132.3,-42.3,44.68,983, 3
2026-06-19T14:51:07.615 330.2,133.8,-43.8,44.76,981, 3
2026-06-19T14:51:07.715 331.1,134.2,-44.2,45.12,972, 3
2026-06-19T14:51:07.815 332.2,134.8,-44.8,45.00,975, 3
2026-06-19T14:51:07.915 333.1,134.7,-44.7,45.12,972, 3
2026-06-19T14:51:08.015 333.5,136.5,-46.5,45.28,968, 3
