# ---- session start 2026-06-19T14:00:10+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:00:11.949 BOOT
2026-06-19T14:00:13.450  
2026-06-19T14:00:13.453  
2026-06-19T14:00:13.455 >> CodeCell C6 v2.0.6 Booting.. 
2026-06-19T14:00:13.767 >> Initializing Sensors: Compass-Free Rotation Sensing Activated | 
2026-06-19T14:00:14.022 >> Reading Sensors:  Roll: 99.62°, Pitch: -98.40°, Yaw: -102.30° |
2026-06-19T14:00:14.025 >> Sampling Rate: 10Hz
2026-06-19T14:00:14.027 >> Power Status: Running from USB Power
2026-06-19T14:00:22.031 tasks started
2026-06-19T14:00:22.034 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:00:22.036 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:00:42.487 156.4,180.0,-107.4,38.96,1126, 3
2026-06-19T14:00:42.587 156.6,180.0,-108.0,39.20,1120, 3
2026-06-19T14:00:42.687 157.1,180.0,-108.5,38.96,1126, 3
2026-06-19T14:00:42.786 157.5,180.0,-108.9,39.32,1117, 3
2026-06-19T14:00:42.887 158.1,180.0,-108.6,38.92,1127, 3
2026-06-19T14:00:42.986 159.4,180.0,-107.8,38.60,1135, 3
2026-06-19T14:00:43.086 159.8,180.0,-107.9,38.56,1136, 3
2026-06-19T14:00:43.186 160.1,180.0,-108.3,39.12,1122, 3
2026-06-19T14:00:43.287 160.0,180.0,-108.9,37.84,1154, 3
2026-06-19T14:00:43.387 160.2,180.0,-109.3,36.68,1183, 3
2026-06-19T14:00:43.486 160.0,180.0,-109.5,36.48,1188, 3
2026-06-19T14:00:43.586 159.8,180.0,-109.4,35.16,1221, 3
2026-06-19T14:00:43.687 159.6,180.0,-109.3,33.72,1257, 3
2026-06-19T14:00:43.787 160.0,180.0,-108.8,34.00,1250, 3
2026-06-19T14:00:43.887 160.4,180.0,-108.3,33.76,1256, 3
2026-06-19T14:00:43.987 161.9,180.0,-106.7,34.08,1248, 3
2026-06-19T14:00:44.092 162.4,180.0,-106.4,34.24,1244, 3
2026-06-19T14:00:44.192 163.1,180.0,-105.7,33.68,1258, 3
2026-06-19T14:00:44.292 163.2,180.0,-105.9,31.80,1305, 3
2026-06-19T14:00:44.392 164.1,180.0,-105.7,31.96,1301, 3
2026-06-19T14:00:44.492 165.2,180.0,-105.0,34.56,1236, 3
2026-06-19T14:00:44.592 165.3,180.0,-104.8,32.44,1289, 3
2026-06-19T14:00:44.691 165.2,180.0,-104.7,32.08,1298, 3
2026-06-19T14:00:44.791 165.8,180.0,-104.7,34.20,1245, 3
2026-06-19T14:00:44.892 166.5,180.0,-105.0,33.12,1272, 3
2026-06-19T14:00:44.992 166.5,180.0,-105.0,33.28,1268, 3
2026-06-19T14:00:45.091 166.1,180.0,-105.2,32.92,1277, 3
2026-06-19T14:00:45.191 166.4,180.0,-105.4,33.16,1271, 3
2026-06-19T14:00:45.291 166.6,180.0,-105.4,33.04,1274, 3
2026-06-19T14:00:45.392 166.6,180.0,-105.5,32.16,1296, 3
2026-06-19T14:00:45.492 166.5,180.0,-105.6,33.24,1269, 3
2026-06-19T14:00:45.592 166.5,180.0,-105.5,33.08,1273, 3
2026-06-19T14:00:45.692 166.6,180.0,-105.6,32.36,1291, 3
2026-06-19T14:00:45.792 166.6,180.0,-105.5,31.68,1308, 3
2026-06-19T14:00:45.892 166.5,180.0,-105.5,30.60,1335, 3
2026-06-19T14:00:45.992 166.4,180.0,-105.6,30.96,1326, 3
2026-06-19T14:00:46.097 166.9,180.0,-105.2,32.40,1290, 3
2026-06-19T14:00:46.197 166.9,180.0,-105.0,31.48,1313, 3
2026-06-19T14:00:46.296 167.0,180.0,-105.0,33.24,1269, 3
2026-06-19T14:00:46.397 167.2,180.0,-105.1,32.80,1280, 3
2026-06-19T14:00:46.497 167.2,180.0,-105.2,32.80,1280, 3
2026-06-19T14:00:46.597 167.2,180.0,-105.3,33.28,1268, 3
2026-06-19T14:00:46.697 167.1,180.0,-105.4,33.36,1266, 3
2026-06-19T14:00:46.797 166.9,180.0,-105.4,33.00,1275, 3
