# ---- session start 2026-06-19T14:15:36+0200  port=/dev/ttyACM0 baud=115200  fallback=GNSS ----
2026-06-19T14:15:43.503 tasks started
2026-06-19T14:15:43.506 phi_deg,theta_deg,elev_deg,P_dBm,mv,cal
2026-06-19T14:15:43.508 waiting: haveP=1 haveAng=0 cal=3
2026-06-19T14:16:06.563 241.3,180.0,-93.6,41.88,1053, 3
2026-06-19T14:16:06.663 242.8,180.0,-93.0,41.96,1051, 3
2026-06-19T14:16:06.763 244.8,180.0,-92.5,42.20,1045, 3
2026-06-19T14:16:06.863 247.5,180.0,-91.1,41.92,1052, 3
2026-06-19T14:16:06.963 249.9,179.9,-89.9,42.24,1044, 3
2026-06-19T14:16:07.062 252.1,178.9,-88.9,42.36,1041, 3
2026-06-19T14:16:07.163 252.5,179.3,-89.3,41.84,1054, 3
2026-06-19T14:16:07.263 251.8,180.0,-90.1,41.80,1055, 3
2026-06-19T14:16:07.363 250.1,180.0,-91.9,41.52,1062, 3
2026-06-19T14:16:07.463 249.7,180.0,-92.2,41.12,1072, 3
2026-06-19T14:16:07.568 249.9,180.0,-92.7,41.28,1068, 3
2026-06-19T14:16:07.668 251.5,180.0,-92.7,41.16,1071, 3
2026-06-19T14:16:07.768 255.0,180.0,-90.9,41.84,1054, 3
2026-06-19T14:16:07.868 257.4,180.0,-90.4,41.20,1070, 3
2026-06-19T14:16:07.968 259.1,179.8,-89.8,41.20,1070, 3
2026-06-19T14:16:08.068 259.7,179.5,-89.5,41.32,1067, 3
2026-06-19T14:16:08.168 257.2,180.0,-91.6,41.84,1054, 3
2026-06-19T14:16:08.268 255.8,180.0,-91.1,42.44,1039, 3
2026-06-19T14:16:08.368 253.3,180.0,-92.0,42.68,1033, 3
2026-06-19T14:16:08.468 253.1,180.0,-91.2,42.84,1029, 3
2026-06-19T14:16:08.568 252.9,180.0,-91.9,42.92,1027, 3
2026-06-19T14:16:08.668 255.0,180.0,-90.4,42.76,1031, 3
2026-06-19T14:16:08.768 255.9,180.0,-90.2,42.68,1033, 3
2026-06-19T14:16:08.868 256.3,180.0,-90.5,42.48,1038, 3
2026-06-19T14:16:08.968 256.9,180.0,-90.2,41.64,1059, 3
2026-06-19T14:16:09.069 255.6,180.0,-91.9,41.80,1055, 3
